cust_id,총구매액,최대구매액,환불금액,주구매상품,주구매지점,내점일수,내점당구매건수,주말방문비율,구매주기
0,68282840,11264000,6860000,기타,강남점,19,3.894736842,0.527027027,17
1,2136000,2136000,300000,스포츠,잠실점,2,1.5,0,1
2,3197000,1639000,,남성 캐주얼,관악점,2,2,0,1
3,16077620,4935000,,기타,광주점,18,2.444444444,0.3181818182,16
4,29050000,24000000,,보석,본  점,2,1.5,0,85
5,11379000,9552000,462000,디자이너,일산점,3,1.666666667,0.2,42
6,10056000,7612000,4582000,시티웨어,강남점,5,2.4,0.3333333333,42
7,514570080,27104000,29524000,명품,본  점,63,2.634920635,0.2228915663,5
8,688243360,173088000,,기타,본  점,18,5.944444444,0.4112149533,15
9,26640850,13728000,,농산물,대전점,1,12,0,0
10,245110760,67275000,22484000,디자이너,부산본점,25,2.12,0.2264150943,13
11,24467500,10575000,,화장품,본  점,3,2,0.8333333333,89
12,2895000,2475000,,남성 캐주얼,분당점,2,1,0,16
13,103217000,14616000,13173720,시티웨어,분당점,27,2.148148148,0.1034482759,10
14,123565660,22500000,7833000,농산물,본  점,84,3.714285714,0.3205128205,4
15,802390550,123488000,87054200,기타,본  점,152,3.585526316,0.1779816514,2
16,359589000,73684240,,골프,본  점,26,2.230769231,0.3620689655,13
17,114421760,28560000,59424000,화장품,본  점,23,2.260869565,0.2307692308,14
18,43857600,24000000,,구두,본  점,2,3.5,0.7142857143,10
19,3074660,500000,,농산물,일산점,2,9.5,0,11
20,52855460,9711000,,기타,잠실점,11,3.272727273,0.02777777778,26
21,208520880,20280000,1524900,농산물,부산본점,278,5.471223022,0.2662721893,1
22,128221640,17232000,18596800,농산물,잠실점,65,3.492307692,0.2070484581,5
23,450640,165000,,농산물,분당점,1,6,0,0
24,52498250,12201000,3146000,가공식품,영등포점,15,2.666666667,0.2,9
25,550000,550000,,스포츠,본  점,1,1,0,0
26,301903130,53050000,21241000,기타,본  점,53,2.79245283,0.4932432432,6
27,217054230,35650000,4440000,기타,분당점,82,10.25609756,0.4161712247,4
28,139213500,19032000,,기타,영등포점,23,2.47826087,0.7368421053,15
29,2156050,630000,,가공식품,잠실점,3,3.666666667,0,28
30,200934660,12835200,,시티웨어,관악점,27,2.777777778,0.2666666667,12
31,355200,259200,,가공식품,분당점,2,2,0.75,48
32,480431110,46440000,4773700,기타,미아점,108,4.796296296,0.3706563707,3
33,38068520,7935000,13930000,기타,강남점,15,2.866666667,0.04651162791,4
34,19296840,15900000,15900000,수산품,잠실점,8,1.75,0.1428571429,33
35,190634260,20284000,82168800,기타,일산점,122,6.516393443,0.2767295597,2
36,16328000,15130000,,시티웨어,분당점,2,2,1,24
37,105878600,28900000,22960000,기타,대전점,13,2.846153846,0.1081081081,24
38,9850000,5750000,,화장품,본  점,3,1,0,40
39,189885800,29673000,20723000,디자이너,부산본점,31,1.548387097,0.2708333333,11
40,680977340,43240000,,화장품,본  점,41,3.341463415,0.6569343066,8
41,10512000,9750000,,수산품,본  점,3,1.666666667,0.2,77
42,58757280,8668800,,디자이너,강남점,14,2.428571429,0.5882352941,21
43,26561200,11875000,,가공식품,분당점,7,2.285714286,0.1875,32
44,88142300,27764000,250000,아동,강남점,20,2.55,0.3529411765,16
45,6895950,2050000,,기타,본  점,21,2.714285714,0.1754385965,14
46,3677000,3476000,,차/커피,본  점,2,2.5,0,18
47,7273000,2205000,,가공식품,강남점,5,4.2,0.04761904762,35
48,115107880,12500000,12085000,기타,본  점,42,4.714285714,0.3787878788,8
49,12810920,870870,,농산물,관악점,18,6.444444444,0.3706896552,13
50,35338450,8125000,,캐주얼,광주점,12,2.583333333,0.2903225806,30
51,13461000,9384000,,스포츠,잠실점,3,1,0.3333333333,76
52,13926390,4050000,,가공식품,본  점,25,2.8,0.5857142857,12
53,4225000,4225000,,화장품,본  점,1,1,0,0
54,157292300,37113600,8989500,농산물,청량리점,96,3.666666667,0.3011363636,3
55,125864310,54000000,,가공식품,안양점,23,2.913043478,0.2835820896,15
56,133636010,16000000,,기타,본  점,19,4.368421053,0.1686746988,16
57,438046180,48489000,28371000,시티웨어,잠실점,38,1.315789474,0.44,8
58,2023500,329000,,가공식품,본  점,7,1.142857143,0,38
59,99215700,34000000,64691600,가공식품,잠실점,17,4.294117647,0.3561643836,19
60,3151200,2544000,,차/커피,잠실점,2,2.5,0,85
61,1062500,2125000,1062500,섬유잡화,영등포점,2,1,0.5,1
62,2178000,2178000,,명품,본  점,1,1,0,0
63,391890,187000,,농산물,본  점,1,7,0,0
64,16728810,2875000,,농산물,분당점,12,3.916666667,0.2765957447,26
65,125714630,14335000,4013000,기타,관악점,28,6.214285714,0.8563218391,12
66,139274290,21420000,,기타,부산본점,17,3.294117647,0.6071428571,18
67,1062000,1062000,,화장품,본  점,1,1,1,0
68,611347440,54427200,,화장품,대전점,29,2.620689655,0.3026315789,11
69,1416950,1026000,,가공식품,일산점,2,1.5,0,61
70,142850,142850,,육류,청량리점,1,1,0,0
71,70633210,13970000,23530000,기타,본  점,33,3.121212121,0.1553398058,10
72,6194090,1656000,,농산물,부평점,6,3.333333333,0,49
73,169350,72000,,축산가공,안양점,1,7,0,0
74,31871970,10750000,12581000,농산물,부산본점,18,1.833333333,0.2121212121,19
75,2727500,2280000,,차/커피,부평점,2,1.5,0,78
76,14219880,2415000,,젓갈/반찬,본  점,12,3.083333333,0.3783783784,20
77,8892400,3845600,,시티웨어,잠실점,1,4,1,0
78,27071500,12712000,3220000,명품,본  점,4,2.5,0.4,9
79,8257780,4370000,,기타,본  점,8,3.875,0.9677419355,27
80,251917560,20250000,9406000,가공식품,일산점,38,2.394736842,0.2637362637,9
81,20532000,8428000,,구두,잠실점,5,1.8,0.6666666667,25
82,58591230,21168000,,캐주얼,본  점,12,2.25,1,16
83,3322720,1104000,,농산물,분당점,5,3,0.7333333333,40
84,279508490,117760000,117760000,골프,분당점,21,2.523809524,0.05660377358,15
85,751611990,32620000,41438600,아동,대전점,176,3.136363636,0.3423913043,2
86,234389170,29760000,7528400,화장품,강남점,51,2.745098039,0.4571428571,6
87,96643910,17688000,4274000,기타,본  점,24,3.458333333,0.2891566265,13
88,379640600,80000000,,시티웨어,미아점,12,2.416666667,0.4482758621,25
89,6072000,6072000,,디자이너,잠실점,1,1,0,0
90,1805890,299000,,가공식품,잠실점,5,5.6,0.8571428571,62
91,2634000,2574000,,액세서리,부평점,2,1,0.5,36
92,5420000,4840000,4838400,피혁잡화,본  점,2,3,0,7
93,341823670,42960000,57549800,농산물,동래점,81,2.740740741,0.2162162162,4
94,140718960,15686000,,화장품,본  점,21,3.095238095,0.5384615385,15
95,8960000,8601600,2975000,시티웨어,부산본점,3,1.333333333,0,2
96,3940150,3250000,,기타,관악점,2,3,0,79
97,483229330,22750000,,시티웨어,영등포점,43,3.88372093,0.4371257485,8
98,5430250,4387500,,기타,본  점,2,2.5,0,58
99,109816000,77040000,3080000,피혁잡화,본  점,12,1.416666667,0.4705882353,10
100,55995890,34970000,735000,기타,본  점,9,2.666666667,0.04166666667,37
101,9940000,3860000,,섬유잡화,분당점,2,2,0,29
102,156000,143000,,차/커피,본  점,1,2,1,0
103,83750,24000,,가공식품,영등포점,2,4,0,1
104,81684500,20700000,,피혁잡화,본  점,4,2,0.5,27
105,80790610,28203000,,가공식품,일산점,10,4.7,0.1914893617,29
106,4104220,420000,,가공식품,본  점,7,5.714285714,0,17
107,6284000,2990000,,구두,본  점,4,1.25,0.2,69
108,96289740,12988800,,일용잡화,포항점,27,3.074074074,0.4819277108,12
109,316486800,92225000,26732400,기타,잠실점,57,2.385964912,0.1691176471,6
110,25914480,19750000,,농산물,잠실점,15,1.333333333,0.05,22
111,37189800,28534000,,디자이너,강남점,4,1.25,0.8,28
112,46113120,9750000,,가공식품,본  점,38,2.368421053,0.2888888889,9
113,17856000,8640000,,기타,잠실점,3,1.666666667,0.4,97
114,272000,272000,,일용잡화,본  점,1,1,0,0
115,44727800,16800000,,기타,분당점,20,5.15,0.2330097087,16
116,300650,110110,,농산물,잠실점,1,4,1,0
117,71169570,17049600,,가공식품,본  점,12,3.833333333,0.7173913043,27
118,228654470,30000000,45308500,기타,노원점,69,2.68115942,0.2486486486,5
119,1143100,1093400,,시티웨어,광주점,1,2,0,0
120,1400500,546000,,가공식품,미아점,3,4.666666667,0,17
121,5902000,2838000,,디자이너,분당점,3,1.666666667,0.2,3
122,3087000,1587000,,남성 캐주얼,영등포점,2,1.5,0.6666666667,2
123,5619650,5392800,,기타,안양점,1,5,1,0
124,79891750,19650000,,아동,부산본점,12,2.833333333,0.05882352941,13
125,16258000,7750000,,수산품,영등포점,4,2.75,0,58
126,169669150,26750000,,화장품,본  점,22,2.681818182,0.3389830508,13
127,122353300,30240000,45000,캐주얼,일산점,26,2.384615385,0.1612903226,13
128,27184590,5006400,6285300,가공식품,미아점,19,4.578947368,0.2873563218,17
129,41175940,11520000,7791000,기타,대전점,14,3.571428571,0.26,24
130,27546070,13420000,,가공식품,잠실점,11,4.636363636,0.1568627451,25
131,155416710,20265760,,기타,대전점,34,5.176470588,0.3068181818,10
132,350841000,44895600,3960000,명품,잠실점,39,2.230769231,0.2643678161,9
133,369263020,128315850,5107000,기타,본  점,104,4.490384615,0.1862955032,3
134,3718000,3718000,,주방가전,잠실점,1,1,0,0
135,35873850,5256000,,기타,잠실점,16,1.9375,0.2903225806,12
136,52976440,6850000,,가공식품,분당점,57,5,0.3578947368,6
137,12000,12000,,수산품,본  점,1,1,0,0
138,208000,954000,1007000,기타,강남점,2,4.5,0.2222222222,1
139,3264000,836000,,섬유잡화,본  점,5,1.4,0.7142857143,67
140,336000,336000,,주방용품,본  점,1,1,1,0
141,44711400,16416000,16691800,차/커피,본  점,27,2.444444444,0.3484848485,12
142,18068400,15750000,,시티웨어,본  점,2,1,0,80
143,7556680,624000,,가공식품,본  점,4,19,0,19
144,1444000,840000,,농산물,본  점,4,2,0,61
