cust_id,총구매액,최대구매액,환불금액,주구매상품,주구매지점,내점일수,내점당구매건수,주말방문비율,구매주기
3500,70900400,22000000,4050000,골프,부산본점,13,1.461538462,0.7894736842,26
3501,310533100,38558000,48034700,농산물,잠실점,90,2.433333333,0.3698630137,3
3502,305264140,14825000,30521000,가공식품,본  점,101,14.62376238,0.08327691266,3
3503,7594080,5225000,,주방용품,부산본점,5,2,0,47
3504,1795790,1411200,,수산품,청량리점,3,2.666666667,0.125,8
3505,13000000,2160000,,화장품,잠실점,5,2.2,0,61
3506,420892520,69920000,39566000,기타,본  점,144,2.618055556,0.24933687,2
3507,1152000,1152000,,스포츠,분당점,1,1,0,0
3508,4825000,4825000,,화장품,일산점,1,1,0,0
3509,110787210,19255600,23062000,가공식품,대전점,28,3.321428571,0.376344086,12
3510,107894360,19668000,29502000,디자이너,본  점,21,2,0.2380952381,14
3511,4500000,4500000,750000,기타,강남점,3,1.666666667,0.6,2
3512,2467010,280000,280000,가공식품,본  점,23,3.434782609,0.03797468354,15
3513,54761980,8592000,,기타,분당점,30,2.3,0.08695652174,11
3514,2196400,1175300,,수산품,강남점,3,3.333333333,0.5,112
3515,54095600,11761200,,시티웨어,강남점,8,2.125,0.2941176471,29
3516,300847300,42144000,68184000,디자이너,동래점,23,2.956521739,0.3970588235,12
3517,76051000,21120000,,화장품,본  점,6,1.5,0.1111111111,39
3518,53283500,33600000,,구두,영등포점,2,3.5,0,63
3519,24380200,9600000,,캐주얼,본  점,2,2.5,1,46
3520,17262940,7920000,,농산물,본  점,6,1.166666667,0.2857142857,18
3521,68141000,30000000,,명품,부산본점,5,1.6,0.375,31
3522,1678600,1678600,,구두,부산본점,1,1,0,0
3523,757475030,31590000,28354000,기타,본  점,103,4.349514563,0.2901785714,3
3524,30139900,17000000,,시티웨어,본  점,5,2,0.4,53
3525,5760000,5760000,,건강식품,일산점,1,1,1,0
3526,13097300,7200000,5924000,시티웨어,부평점,5,2.8,0.1428571429,42
3527,18680000,17000000,,남성정장,영등포점,2,1.5,0.3333333333,38
3528,3172900,1727000,,건강식품,일산점,3,1,0,29
3529,4156000,2500000,1078000,커리어,분당점,2,2.5,0,3
3530,337492920,22890000,,기타,대구점,68,3.073529412,0.3492822967,5
3531,6042000,3634000,,남성 캐주얼,부평점,2,3.5,0,21
3532,51731800,28952000,34750000,시티웨어,영등포점,14,1.642857143,0.1304347826,24
3533,23679450,7832000,,축산가공,분당점,13,4.076923077,0.3773584906,9
3534,925520,264000,,가공식품,분당점,4,2.75,0,50
3535,8387000,6600000,,식기,본  점,1,3,0,0
3536,11856500,9142500,,남성 캐주얼,본  점,3,1.666666667,0,23
3537,51200400,25000000,20205000,골프,노원점,3,3,0.2222222222,36
3538,5804900,3240000,,가공식품,강남점,4,2.75,0.09090909091,74
3539,743400,743400,,피혁잡화,분당점,1,1,0,0
3540,417237910,156000000,,기타,본  점,28,4,0.2053571429,11
3541,336993960,16380000,13181400,농산물,청량리점,78,5.307692308,0.884057971,4
3542,26268800,15423800,,디자이너,본  점,2,4,1,31
3543,169690400,166760000,,모피/피혁,잠실점,4,1,0.25,80
3544,18242200,3796800,600000,섬유잡화,본  점,6,3,0,41
3545,95846730,13930000,,기타,잠실점,22,3.045454545,0.6417910448,13
3546,124269100,15900000,3140000,캐주얼,본  점,27,2.666666667,0.1111111111,12
3547,222518660,103500000,139194800,가공식품,강남점,72,4.375,0.3015873016,4
3548,2596000,2596000,,트래디셔널,광주점,1,1,1,0
3549,41990600,8900000,,농산물,분당점,57,3.859649123,0.3727272727,6
3550,6609440,1827000,,차/커피,본  점,11,3.454545455,0.1315789474,20
3551,2473780,1680000,,가공식품,본  점,4,3.5,0,75
3552,39473670,31275000,715000,명품,부산본점,5,3.4,0.1176470588,16
3553,10254770,3600000,,농산물,관악점,32,2.9375,0.3936170213,10
3554,83040000,11988000,,화장품,잠실점,10,1.2,0.3333333333,33
3555,332833110,38172000,4547300,가공식품,본  점,81,2.456790123,0.4020100503,4
3556,131080,33000,,육류,일산점,5,2.4,0,30
3557,24307340,5220000,1125000,화장품,강남점,10,1.9,0.2631578947,27
3558,465650200,131484000,,가공식품,본  점,24,2.416666667,0.1724137931,14
3559,344353830,40500000,490000,기타,일산점,39,3.333333333,0.4230769231,8
3560,828500,440000,,모피/피혁,영등포점,3,1,0.3333333333,5
3561,55622910,5160000,,기타,본  점,24,3.625,0.4252873563,13
3562,146975380,13708000,6160000,기타,분당점,24,10.41666667,0.692,13
3563,125766800,32445000,8072000,명품,본  점,19,2.315789474,0.2045454545,17
3564,4794800,3200000,3200000,구두,잠실점,5,1,0.6,38
3565,9636000,9636000,,명품,부산본점,1,1,0,0
3566,532554900,62270000,63303600,디자이너,광주점,60,1.966666667,0.3559322034,5
3567,1128000,765600,,가공식품,일산점,2,1.5,0,102
3568,56017000,24000000,24995400,가구,본  점,13,1.384615385,0.1666666667,26
3569,15160850,14960000,,수산품,본  점,2,2.5,1,52
3570,7324000,6946000,9704000,시티웨어,잠실점,14,2.142857143,0.1333333333,22
3571,4827240,2500000,2500000,구두,분당점,3,4.333333333,0.07692307692,33
3572,1800000,1800000,,스포츠,잠실점,1,1,1,0
3573,21288200,7492800,1667500,피혁잡화,본  점,3,3.666666667,0.1818181818,2
3574,13768750,3916500,,농산물,미아점,5,5.8,0,12
3575,2332800,2332800,,구두,일산점,1,1,1,0
3576,1714700,936000,,캐주얼,일산점,2,3,0,95
3577,444186940,29040000,,아동,영등포점,28,2.714285714,0.3289473684,10
3578,164723660,25070000,22733000,기타,영등포점,22,2.136363636,0.4680851064,15
3579,346405080,29000000,10520000,시티웨어,분당점,51,1.647058824,0.2857142857,6
3580,8424000,8424000,,건강식품,부산본점,1,1,0,0
3581,262750,216000,,가공식품,잠실점,1,2,1,0
3582,691200,691200,,스포츠,대전점,1,1,1,0
3583,20100000,12700000,,피혁잡화,대전점,2,1,0,100
3584,11291500,3768000,,가공식품,분당점,8,1.25,0.2,38
3585,84166950,15048000,560000,화장품,본  점,24,1.583333333,0.07894736842,14
3586,513195950,115500000,161536200,디자이너,부산본점,42,2.166666667,0.04395604396,8
3587,224731760,15842400,18886300,가공식품,창원점,77,3.376623377,0.1538461538,4
3588,155500720,32110000,2559300,농산물,일산점,28,4.857142857,0.7132352941,12
3589,14509000,5984000,,화장품,영등포점,6,1,0.6666666667,35
3590,59708930,24080000,,가공식품,본  점,21,3.142857143,0.3939393939,14
3591,274027030,56328000,,가공식품,본  점,29,3.137931034,0.4285714286,9
